participant_id,treatment,image_id,entropy,albox_mean,iou,change_size,changed
29,baseline,651,2.199411392211914e-5,1.196775,1,0,0
29,baseline,651,0.0013380050659179,0.766225,1,0,0
29,baseline,651,0.1396484375,1.6023,1,0,0
29,baseline,651,8.33511352539e-4,2.781975,0.94,0.06,1
29,baseline,651,0.1517333984375,11.572275,0.92,0.08,1
29,baseline,793,-0,0.541075,0.902188,0.097812,1
29,baseline,793,5.955696105957e-4,0.604525,0.908605,0.091395,1
29,baseline,793,3.645420074462e-4,0.5516249999999999,0.840953,0.159047,1
29,baseline,793,6.351470947265e-4,1.3092,0.950596,0.049404000000000003,1
29,baseline,793,0.1417236328125,0.74915,1,0,0
29,baseline,614,1.3709068298339844e-6,1.828375,1,0,0
29,baseline,614,0.0094528198242187,1.3645,1,0,0
29,baseline,614,0.0372314453125,1.586675,1,0,0
29,baseline,614,0.0042228698730468,0.9729,0.9,0.1,1
29,baseline,614,1.5458984375,2.1548000000000003,0.6751,0.3249,1
29,baseline,614,0.9853515625,1.37795,0.920319,0.079681,1
29,baseline,614,0.1220703125,0.7876,1,0,0
29,baseline,614,1.1920928955078123e-5,2.194575,0.945847,0.054153,1
45,baseline,631,5.087852478027e-4,0.5005000000000001,1,0,0
45,baseline,631,-0,1.046725,0.96,0.04,1
45,baseline,631,2.349609375,9.5493,0,1,1
45,baseline,631,1.691579818725e-4,0.6664000000000001,1,0,0
45,baseline,631,1.3709068298339844e-6,0.965325,0.95246,0.04754,1
45,baseline,631,2.5,9.1245,1,0,0
45,baseline,107,8.106231689453125e-6,2.57715,0.947304,0.052696,1
45,baseline,107,1.02162361145e-4,1.664775,0.95,0.05,1
45,baseline,107,0.0159454345703125,0.918825,1,0,0
45,baseline,107,1.3709068298339844e-6,0.6803250000000001,1,0,0
45,baseline,107,1.732110977172e-4,0.8082250000000001,1,0,0
45,baseline,107,0.0081329345703125,0.750475,1,0,0
45,baseline,107,0.5439453125,1.03725,1,0,0
